species	colony	worker	workerall	time	ph
c.floridanus	C62	1	1	0+4h	4
c.floridanus	C62	2	2	0+4h	4.5
c.floridanus	C62	3	3	0+4h	4
c.floridanus	C62	4	4	0+4h	4
c.floridanus	C62	5	5	0+4h	3.5
c.floridanus	C219	6	6	0+4h	4
c.floridanus	C219	7	7	0+4h	3
c.floridanus	C219	8	8	0+4h	4.5
c.floridanus	C219	9	9	0+4h	4.5
c.floridanus	C219	10	10	0+4h	4.5
c.floridanus	C308	11	11	0+4h	4
c.floridanus	C308	12	12	0+4h	4
c.floridanus	C308	13	13	0+4h	4
c.floridanus	C308	14	14	0+4h	4
c.floridanus	C308	15	15	0+4h	4
c.floridanus	C100	16	16	0+4h	3.5
c.floridanus	C100	17	17	0+4h	4
c.floridanus	C100	18	18	0+4h	4
c.floridanus	C100	19	19	0+4h	4
c.floridanus	C100	20	20	0+4h	3.5
c.floridanus	C321	21	21	0+4h	3.5
c.floridanus	C321	22	22	0+4h	3.5
c.floridanus	C321	23	23	0+4h	4
c.floridanus	C321	24	24	0+4h	4
c.floridanus	C321	25	25	0+4h	4
c.floridanus	C219	26	26	0+4h	4
c.floridanus	C219	27	27	0+4h	4
c.floridanus	C219	28	28	0+4h	4.5
c.floridanus	C219	29	29	0+4h	4
c.floridanus	C219	30	30	0+4h	4.5
c.floridanus	C62	31	31	0+4h	5
c.floridanus	C62	32	32	0+4h	4
c.floridanus	C62	33	33	0+4h	4.5
c.floridanus	C62	34	34	0+4h	4.5
c.floridanus	C62	35	35	0+4h	4.5
c.floridanus	C308	36	36	0+4h	4.5
c.floridanus	C308	37	37	0+4h	5
c.floridanus	C308	38	38	0+4h	4.5
c.floridanus	C308	39	39	0+4h	4
c.floridanus	C308	40	40	0+4h	4
c.floridanus	C321	41	41	0+4h	5
c.floridanus	C321	42	42	0+4h	5
c.floridanus	C321	43	43	0+4h	5
c.floridanus	C321	44	44	0+4h	4.5
c.floridanus	C321	45	45	0+4h	5
c.floridanus	C100	46	46	0+4h	4
c.floridanus	C100	47	47	0+4h	5
c.floridanus	C100	48	48	0+4h	4.5
c.floridanus	C100	49	49	0+4h	4.5
c.floridanus	C100	50	50	0+4h	4
c.floridanus	C104	51	51	0+4h	4
