bacteria	gutregion	time	cfu	colony
asaia	crop	0	10000	C313
asaia	crop	0	20000	C313
asaia	crop	0	20000	C313
asaia	crop	0	40000	C313
asaia	crop	0	3700	C94
asaia	crop	0	9930	C94
asaia	crop	0	30000	C94
asaia	crop	0	40000	C94
asaia	crop	0	10000	C94
asaia	crop	0	10000	C322
asaia	crop	0	30000	C322
asaia	crop	0	9610	C322
asaia	crop	0	50000	C219
asaia	crop	0	20000	C219
asaia	crop	0	50000	C219
asaia	crop	0.5	40000	C94
asaia	crop	0.5	30000	C94
asaia	crop	0.5	30000	C94
asaia	crop	0.5	50000	C94
asaia	crop	0.5	1100	C313
asaia	crop	0.5	10000	C313
asaia	crop	0.5	10000	C313
asaia	crop	0.5	2000	C313
asaia	crop	0.5	10000	C322
asaia	crop	0.5	50000	C322
asaia	crop	0.5	10000	C322
asaia	crop	0.5	20000	C322
asaia	crop	0.5	4000	C333
asaia	crop	0.5	9000	C333
asaia	crop	0.5	10000	C333
asaia	crop	4	9000	C94
asaia	crop	4	8700	C94
asaia	crop	4	10000	C94
asaia	crop	4	5000	C94
asaia	crop	4	7000	C94
asaia	crop	4	10000	C313
asaia	crop	4	20000	C313
asaia	crop	4	6000	C313
asaia	crop	4	20000	C313
asaia	crop	4	5000	C322
asaia	crop	4	1000	C322
asaia	crop	4	457	C322
asaia	crop	4	3800	C322
asaia	crop	4	8000	C322
asaia	crop	4	20000	C322
asaia	crop	24	578	C94
asaia	crop	24	561	C94
asaia	crop	24	2131	C94
asaia	crop	24	460	C94
asaia	crop	24	767	C313
asaia	crop	24	614	C313
asaia	crop	24	618	C313
asaia	crop	24	781	C313
asaia	crop	24	750	C219
asaia	crop	24	314	C219
asaia	crop	24	0	C219
asaia	crop	24	98	C219
asaia	crop	24	156	C322
asaia	crop	24	374	C322
asaia	crop	24	0	C322
asaia	crop	48	0	C333
asaia	crop	48	11	C333
asaia	crop	48	8	C333
asaia	crop	48	4	C333
asaia	crop	48	3	C322
asaia	crop	48	0	C322
asaia	crop	48	17	C322
asaia	crop	48	0	C219
asaia	crop	48	2	C219
asaia	crop	48	7	C219
asaia	crop	48	31	C219
asaia	crop	48	0	C94
asaia	crop	48	0	C94
asaia	crop	48	0	C94
asaia	crop	48	0	C94
