species	worker	treatment	ph	colony
c.floridanus	1	FA+	2.5	C219
c.floridanus	2	FA+	3	C219
c.floridanus	3	FA+	3	C219
c.floridanus	4	FA+	3	C219
c.floridanus	5	FA+	3	C219
c.floridanus	6	FA+	2.5	C308
c.floridanus	7	FA+	2.5	C308
c.floridanus	8	FA+	4	C308
c.floridanus	9	FA+	2	C308
c.floridanus	10	FA+	2	C308
c.floridanus	11	FA+	3	C100
c.floridanus	12	FA+	2	C100
c.floridanus	13	FA+	2.5	C100
c.floridanus	14	FA+	2	C100
c.floridanus	15	FA+	2	C100
c.floridanus	16	FA+	2	C62
c.floridanus	17	FA+	3	C62
c.floridanus	18	FA+	2.5	C62
c.floridanus	19	FA+	2	C62
c.floridanus	20	FA+	2	C62
c.floridanus	21	FA+	2	C62
c.floridanus	22	FA+	2.5	C62
c.floridanus	23	FA+	3	C62
c.floridanus	1	FA-	4	C100
c.floridanus	2	FA-	4	C100
c.floridanus	3	FA-	5	C100
c.floridanus	4	FA-	3	C100
c.floridanus	5	FA-	3.5	C100
c.floridanus	6	FA-	3.5	C62
c.floridanus	7	FA-	4	C62
c.floridanus	8	FA-	3.5	C62
c.floridanus	9	FA-	4	C62
c.floridanus	10	FA-	4	C62
c.floridanus	11	FA-	4	C219
c.floridanus	12	FA-	4	C219
c.floridanus	13	FA-	3	C219
c.floridanus	14	FA-	5	C219
c.floridanus	15	FA-	4.5	C219
c.floridanus	16	FA-	4	C219
c.floridanus	17	FA-	3.5	C219
c.floridanus	18	FA-	4	C219
c.floridanus	19	FA-	4.5	C219
c.floridanus	20	FA-	3	C308
c.floridanus	21	FA-	4	C308
c.floridanus	22	FA-	4	C308
